available,returncode,n_items,score,prefix,stdout_tail,reason
False,,,,b0_qwen2p5_coder_7b_bird_minidev_30,,eval dir missing: /content/drive/MyDrive/diploma_plan_sql/external_benchmarks/bird_mini_dev/raw/minidev/evaluation
False,,,,b1_qwen2p5_coder_7b_bird_minidev_30,,eval dir missing: /content/drive/MyDrive/diploma_plan_sql/external_benchmarks/bird_mini_dev/raw/minidev/evaluation
False,,,,b2v2_qwen2p5_coder_7b_bird_minidev_30,,eval dir missing: /content/drive/MyDrive/diploma_plan_sql/external_benchmarks/bird_mini_dev/raw/minidev/evaluation
False,,,,b1v3_qwen2p5_coder_7b_bird_minidev_30,,eval dir missing: /content/drive/MyDrive/diploma_plan_sql/external_benchmarks/bird_mini_dev/raw/minidev/evaluation
False,,,,b3v3_qwen2p5_coder_7b_bird_minidev_30,,eval dir missing: /content/drive/MyDrive/diploma_plan_sql/external_benchmarks/bird_mini_dev/raw/minidev/evaluation
False,,,,b2v3_qwen2p5_coder_7b_bird_minidev_30,,eval dir missing: /content/drive/MyDrive/diploma_plan_sql/external_benchmarks/bird_mini_dev/raw/minidev/evaluation
False,,,,b4v3_qwen2p5_coder_7b_bird_minidev_30,,eval dir missing: /content/drive/MyDrive/diploma_plan_sql/external_benchmarks/bird_mini_dev/raw/minidev/evaluation
False,,,,b0_llama_3p1_8b_bird_minidev_30,,eval dir missing: /content/drive/MyDrive/diploma_plan_sql/external_benchmarks/bird_mini_dev/raw/minidev/evaluation
False,,,,b0_qwen3_8b_bird_minidev_30,,eval dir missing: /content/drive/MyDrive/diploma_plan_sql/external_benchmarks/bird_mini_dev/raw/minidev/evaluation
False,,,,b0_gemma_3_12b_it_bird_minidev_30,,eval dir missing: /content/drive/MyDrive/diploma_plan_sql/external_benchmarks/bird_mini_dev/raw/minidev/evaluation
False,,,,b0_qwen2p5_coder_32b_bird_minidev_30,,eval dir missing: /content/drive/MyDrive/diploma_plan_sql/external_benchmarks/bird_mini_dev/raw/minidev/evaluation
