baseline,benchmark,category,count,pct
B0,spider_dev,success,750,0.7253
B0,spider_dev,result_mismatch,229,0.2215
B0,spider_dev,op_no_such_column,48,0.0464
B0,spider_dev,op_other,4,0.0039
B0,spider_dev,runtime_type_error,2,0.0019
B0,spider_dev,op_no_such_table,1,0.001
B1_v5,spider_dev,success,774,0.7485
B1_v5,spider_dev,result_mismatch,205,0.1983
B1_v5,spider_dev,op_no_such_column,34,0.0329
B1_v5,spider_dev,unsafe_sql_blocked,18,0.0174
B1_v5,spider_dev,runtime_type_error,2,0.0019
B1_v5,spider_dev,op_ambiguous_column,1,0.001
B2_v5,spider_dev,success,773,0.7476
B2_v5,spider_dev,result_mismatch,207,0.2002
B2_v5,spider_dev,op_no_such_column,33,0.0319
B2_v5,spider_dev,unsafe_sql_blocked,18,0.0174
B2_v5,spider_dev,runtime_type_error,2,0.0019
B2_v5,spider_dev,op_ambiguous_column,1,0.001
B0,bird_full,result_mismatch,288,0.576
B0,bird_full,success,102,0.204
B0,bird_full,op_no_such_column,87,0.174
B0,bird_full,runtime_type_error,9,0.018
B0,bird_full,op_syntax_error,5,0.01
B0,bird_full,op_other,4,0.008
B0,bird_full,op_no_such_table,3,0.006
B0,bird_full,runtime_timeout,1,0.002
B0,bird_full,op_ambiguous_column,1,0.002
B1_v5,bird_full,result_mismatch,270,0.54
B1_v5,bird_full,success,115,0.23
B1_v5,bird_full,op_no_such_column,71,0.142
B1_v5,bird_full,runtime_timeout,23,0.046
B1_v5,bird_full,runtime_type_error,9,0.018
B1_v5,bird_full,op_no_such_table,6,0.012
B1_v5,bird_full,op_syntax_error,4,0.008
B1_v5,bird_full,op_other,2,0.004
B2_v5,bird_full,result_mismatch,225,0.45
B2_v5,bird_full,success,188,0.376
B2_v5,bird_full,op_no_such_column,62,0.124
B2_v5,bird_full,runtime_type_error,8,0.016
B2_v5,bird_full,op_syntax_error,7,0.014
B2_v5,bird_full,op_ambiguous_column,5,0.01
B2_v5,bird_full,op_other,4,0.008
B2_v5,bird_full,op_no_such_table,1,0.002
