baseline,model,subset,EX,executable_count,plan_valid_count,avg_reduction_ratio,n,present
B0,Qwen-Coder-7B-Instruct,smoke10,1.0,10,—,—,10,True
B1,Qwen-Coder-7B-Instruct,smoke10,1.0,10,—,0.475,10,True
B2_v0,Qwen-Coder-7B-Instruct,smoke10,0.7,9,9,0.475,10,True
B2_v1,Qwen-Coder-7B-Instruct,smoke10,0.6,8,8,0.475,10,True
B3,Qwen-Coder-7B-Instruct,smoke10,0.2,2,2,0.475,10,True
B3_v1,Qwen-Coder-7B-Instruct,smoke10,0.3,5,5,0.475,10,True
B4-lite,Qwen-Coder-7B-Instruct,smoke10,0.2,2,2,0.475,10,True
B4_final,Qwen-Coder-7B-Instruct,smoke10,0.3,5,5,0.475,10,True
B0,Qwen-Coder-7B-Instruct,smoke25,0.96,25,—,—,25,True
B1,Qwen-Coder-7B-Instruct,smoke25,0.96,25,—,0.58,25,True
B0,Qwen-7B-Instruct,smoke10,0.6,9,—,—,10,True
B1,Qwen-7B-Instruct,smoke10,1.0,10,—,0.475,10,True
B0,Qwen-Coder-7B-Instruct,multidb_30,0.9333333333333333,30,—,—,30,True
B1,Qwen-Coder-7B-Instruct,multidb_30,0.7666666666666667,29,—,0.5527777777777777,30,True
B2_v1,Qwen-Coder-7B-Instruct,multidb_30,0.6333333333333333,26,28,0.5527777777777777,30,True
B3_v1,Qwen-Coder-7B-Instruct,multidb_30,0.4666666666666667,18,18,0.5527777777777777,30,True
B4_final,Qwen-Coder-7B-Instruct,multidb_30,0.4666666666666667,18,18,0.5527777777777777,30,True
