run_id,instance_id,family_A_parse_ok,family_A_schema_valid,family_A_dry_run_ok,family_B_parse_ok,family_B_schema_valid,family_B_dry_run_ok,plan_valid,chosen_family
lite_bq_v21_pilot50,bq011,1,0,0,1,0,1,0,B
lite_bq_v21_pilot50,bq010,1,1,0,1,0,0,0,A
lite_bq_v21_pilot50,bq009,1,0,1,1,0,0,1,A
lite_bq_v21_pilot50,bq001,1,0,0,1,0,0,1,A
lite_bq_v21_pilot50,bq002,1,1,0,0,0,0,1,A
lite_bq_v21_pilot50,bq003,1,0,1,1,0,0,1,A
lite_bq_v21_pilot50,bq004,1,1,0,1,0,0,0,A
lite_bq_v21_pilot50,bq008,1,1,0,1,0,0,0,A
lite_bq_v21_pilot50,bq269,0,0,0,1,0,0,0,B
lite_bq_v21_pilot50,bq268,1,0,0,1,0,0,1,A
lite_bq_v21_pilot50,bq270,1,0,1,1,0,0,1,A
lite_bq_v21_pilot50,bq275,1,0,0,1,0,0,1,A
lite_bq_v21_pilot50,bq374,1,0,1,1,0,0,1,A
lite_bq_v21_pilot50,bq019,1,1,0,1,0,0,1,A
lite_bq_v21_pilot50,bq234,1,1,1,1,0,1,1,A
lite_bq_v21_pilot50,bq235,1,0,0,1,0,0,0,A
lite_bq_v21_pilot50,bq172,1,1,0,1,0,0,1,A
lite_bq_v21_pilot50,bq177,1,0,0,1,0,0,0,A
lite_bq_v21_pilot50,bq354,1,1,1,0,0,0,0,A
lite_bq_v21_pilot50,bq355,1,1,0,1,0,0,1,A
lite_bq_v21_pilot50,bq032,1,1,1,1,1,0,1,A
lite_bq_v21_pilot50,bq119,1,0,1,1,0,0,0,A
lite_bq_v21_pilot50,bq419,1,1,1,1,0,1,1,A
lite_bq_v21_pilot50,bq356,1,1,0,1,0,0,1,A
lite_bq_v21_pilot50,bq042,1,1,0,0,0,0,1,A
lite_bq_v21_pilot50,bq394,1,1,0,1,0,0,0,A
lite_bq_v21_pilot50,bq357,1,1,1,1,0,0,1,A
lite_bq_v21_pilot50,bq181,1,0,0,1,0,0,0,A
lite_bq_v21_pilot50,bq045,1,1,0,1,0,0,0,A
lite_bq_v21_pilot50,bq290,1,1,0,1,0,0,1,A
lite_bq_v21_pilot50,bq031,0,0,0,0,0,0,0,B
lite_bq_v21_pilot50,bq392,1,1,1,1,0,1,1,A
lite_bq_v21_pilot50,bq208,1,1,0,1,0,0,0,A
lite_bq_v21_pilot50,bq047,1,0,0,1,0,0,0,A
lite_bq_v21_pilot50,bq048,1,1,1,1,0,0,1,A
lite_bq_v21_pilot50,bq293,1,1,1,1,0,0,1,A
lite_bq_v21_pilot50,bq034,1,1,1,1,1,1,0,A
lite_bq_v21_pilot50,bq383,1,1,1,0,0,0,1,A
lite_bq_v21_pilot50,bq051,1,0,0,1,0,0,1,A
lite_bq_v21_pilot50,bq038,0,0,0,1,0,0,0,B
lite_bq_v21_pilot50,bq053,1,0,0,1,0,1,0,B
lite_bq_v21_pilot50,bq054,1,1,0,1,0,1,0,B
lite_bq_v21_pilot50,bq021,1,0,0,1,0,0,0,A
lite_bq_v21_pilot50,bq202,1,1,1,1,0,1,1,A
lite_bq_v21_pilot50,bq185,1,1,1,1,0,0,1,A
lite_bq_v21_pilot50,bq040,1,0,0,1,0,0,1,A
lite_bq_v21_pilot50,bq098,1,0,0,1,0,0,0,A
lite_bq_v21_pilot50,bq039,1,0,0,1,0,0,0,A
lite_bq_v21_pilot50,bq203,0,0,0,1,0,1,1,B
lite_bq_v21_pilot50,bq035,1,0,1,1,0,1,0,A
